time	V(vout)
2.566949909434635e-03	1.979953e+00
2.569519143287200e-03	2.107006e+00
2.571399056967196e-03	2.175148e+00
2.572988491893879e-03	2.215541e+00
2.574514298604752e-03	2.239074e+00
2.576319426424748e-03	2.247537e+00
2.578647497216647e-03	2.226352e+00
2.582419277973019e-03	2.119832e+00
2.588413933681871e-03	1.806362e+00
2.597379173071068e-03	1.153042e+00
2.607407578067507e-03	3.574682e-01
2.613253935379221e-03	-4.670762e-02
2.616946261871794e-03	-2.342502e-01
2.619516522020403e-03	-3.223511e-01
2.621397108156046e-03	-3.622795e-01
2.622986068368468e-03	-3.789997e-01
2.624513757834167e-03	-3.799895e-01
2.626319225271959e-03	-3.620052e-01
2.628647170109833e-03	-3.071137e-01
2.632418750712327e-03	-1.469802e-01
2.638413110480220e-03	2.492264e-01
2.647378005714127e-03	1.021641e+00
2.656710342883013e-03	1.881571e+00
2.663000513452831e-03	2.397803e+00
2.666776426372548e-03	2.637667e+00
2.669394636570913e-03	2.758725e+00
2.671306553012758e-03	2.821528e+00
2.672873431033072e-03	2.855662e+00
2.674488636446592e-03	2.874400e+00
2.676309880364759e-03	2.875700e+00
2.678631973641116e-03	2.844868e+00
2.682394254597209e-03	2.722538e+00
2.688374859749392e-03	2.383501e+00
2.697323741521501e-03	1.690257e+00
2.707552566857283e-03	8.304102e-01
2.713400170588288e-03	3.988953e-01
2.717044667939575e-03	1.970840e-01
2.719587291653848e-03	9.803741e-02
2.721449742167968e-03	4.956995e-02
2.723051516126964e-03	2.492509e-02
2.724574666583083e-03	1.639014e-02
2.726341879640835e-03	2.514734e-02
2.728684008923975e-03	6.852955e-02
2.732478124832505e-03	2.102985e-01
2.738505779041211e-03	5.777698e-01
2.747509290518379e-03	1.305780e+00
2.756233725297380e-03	2.061400e+00
2.762958863348570e-03	2.578137e+00
2.766748599001554e-03	2.799192e+00
2.769374696626011e-03	2.905904e+00
2.771291750214747e-03	2.958096e+00
2.772855014067844e-03	2.983317e+00
2.774484530926454e-03	2.992970e+00
2.776308353076912e-03	2.983864e+00
2.778629489974472e-03	2.939678e+00
2.782390250827094e-03	2.795633e+00
2.788368606844596e-03	2.422051e+00
2.797314866777796e-03	1.677090e+00
2.807590718298578e-03	7.533454e-01
2.813362854445814e-03	2.938182e-01
2.817019528799872e-03	6.998016e-02
2.819569202443560e-03	-4.433944e-02
2.821436284704037e-03	-1.038503e-01
2.823034783914727e-03	-1.377953e-01
2.824544937620935e-03	-1.550615e-01
2.826330822789523e-03	-1.566125e-01
2.828666029323482e-03	-1.269538e-01
2.832449148148672e-03	-7.538757e-03
2.838460561328640e-03	3.113524e-01
2.844489567185612e-03	7.484156e-01
2.851158988419597e-03	1.301096e+00
2.859312430255527e-03	1.949721e+00
2.864406527077560e-03	2.280656e+00
2.867729769036593e-03	2.434555e+00
2.870082884319293e-03	2.506531e+00
2.871819434424104e-03	2.537726e+00
2.873503229006005e-03	2.549299e+00
2.875376955583863e-03	2.542701e+00
2.877113781618939e-03	2.515697e+00
2.879938008692734e-03	2.427010e+00
2.884491111364956e-03	2.187400e+00
2.891607325109691e-03	1.639849e+00
2.901748876293384e-03	6.980321e-01
2.910037755447505e-03	-6.586263e-02
2.914857678966196e-03	-4.396688e-01
2.918041281654517e-03	-6.277002e-01
2.920309841969901e-03	-7.275123e-01
2.921989351176801e-03	-7.808866e-01
2.923708220767834e-03	-8.157644e-01
2.926018978735487e-03	-8.360991e-01
2.928158784642067e-03	-8.248945e-01
