time	V(transmit_electrode)
2.524520938739385e-03	4.230431e-01
2.526321896355946e-03	4.159601e-01
2.528651513711544e-03	3.973719e-01
2.532425752048746e-03	3.453921e-01
2.538424041125532e-03	2.128987e-01
2.547393504497722e-03	-6.518044e-02
2.557416720302854e-03	-4.011537e-01
2.563259363626783e-03	-5.635570e-01
2.566949909434635e-03	-6.415740e-01
2.569519143287200e-03	-6.821656e-01
2.571399056967196e-03	-7.041151e-01
2.572988491893879e-03	-7.173586e-01
2.574514298604752e-03	-7.254018e-01
2.576319426424748e-03	-7.289635e-01
2.578647497216647e-03	-7.240714e-01
2.582419277973019e-03	-6.941578e-01
2.588413933681871e-03	-5.963724e-01
2.597379173071068e-03	-3.691561e-01
2.607407578067507e-03	-8.799029e-02
2.613253935379221e-03	4.337730e-02
2.616946261871794e-03	1.021200e-01
2.619516522020403e-03	1.294512e-01
2.621397108156046e-03	1.417832e-01
2.622986068368468e-03	1.469509e-01
2.624513757834167e-03	1.472951e-01
2.626319225271959e-03	1.418115e-01
2.628647170109833e-03	1.253671e-01
2.632418750712327e-03	7.701256e-02
2.638413110480220e-03	-4.936115e-02
2.647378005714127e-03	-3.176118e-01
2.656710342883013e-03	-6.211576e-01
2.663000513452831e-03	-7.916349e-01
2.666776426372548e-03	-8.679115e-01
2.669394636570913e-03	-9.065428e-01
2.671306553012758e-03	-9.267126e-01
2.672873431033072e-03	-9.379739e-01
2.674488636446592e-03	-9.445136e-01
2.676309880364759e-03	-9.456639e-01
2.678631973641116e-03	-9.376041e-01
2.682394254597209e-03	-9.025664e-01
2.688374859749392e-03	-7.965792e-01
2.697323741521501e-03	-5.565445e-01
2.707552566857283e-03	-2.538568e-01
2.713400170588288e-03	-1.138632e-01
2.717044667939575e-03	-5.049167e-02
2.719587291653848e-03	-1.953678e-02
2.721449742167968e-03	-4.365142e-03
2.723051516126964e-03	3.407998e-03
2.724574666583083e-03	6.188086e-03
2.726341879640835e-03	3.737810e-03
2.728684008923975e-03	-8.857481e-03
2.732478124832505e-03	-5.115810e-02
2.738505779041211e-03	-1.681769e-01
2.747509290518379e-03	-4.220098e-01
2.756233725297380e-03	-6.904858e-01
2.762958863348570e-03	-8.619419e-01
2.766748599001554e-03	-9.315279e-01
2.769374696626011e-03	-9.653921e-01
2.771291750214747e-03	-9.820219e-01
2.772855014067844e-03	-9.903194e-01
2.774484530926454e-03	-9.938327e-01
2.776308353076912e-03	-9.914960e-01
2.778629489974472e-03	-9.789870e-01
2.782390250827094e-03	-9.367391e-01
2.788368606844596e-03	-8.192816e-01
2.797314866777796e-03	-5.620235e-01
2.807590718298578e-03	-2.380903e-01
2.813362854445814e-03	-8.870328e-02
2.817019528799872e-03	-1.787215e-02
2.819569202443560e-03	1.818426e-02
2.821436284704037e-03	3.704390e-02
2.823034783914727e-03	4.792100e-02
2.824544937620935e-03	5.364516e-02
2.826330822789523e-03	5.466340e-02
2.828666029323482e-03	4.663717e-02
2.832449148148672e-03	1.183138e-02
2.838460561328640e-03	-9.315128e-02
2.844489567185612e-03	-2.447622e-01
2.851158988419597e-03	-4.387361e-01
2.859312430255527e-03	-6.627784e-01
2.864406527077560e-03	-7.695568e-01
2.867729769036593e-03	-8.180631e-01
2.870082884319293e-03	-8.406324e-01
2.871819434424104e-03	-8.505968e-01
2.873503229006005e-03	-8.546532e-01
2.875376955583863e-03	-8.525748e-01
2.877113781618939e-03	-8.444234e-01
2.879938008692734e-03	-8.185419e-01
2.884491111364956e-03	-7.455506e-01
2.891607325109691e-03	-5.664178e-01
2.901748876293384e-03	-2.345980e-01
2.910037755447505e-03	2.703815e-02
2.914857678966196e-03	1.469588e-01
2.918041281654517e-03	2.067134e-01
2.920309841969901e-03	2.384225e-01
2.921989351176801e-03	2.556993e-01
2.923708220767834e-03	2.677503e-01
2.926018978735487e-03	2.748373e-01
2.928158784642067e-03	2.720754e-01
2.931630503087020e-03	2.489900e-01
2.937177101229984e-03	1.683746e-01
2.945603263506485e-03	-3.120725e-02
2.956724099713932e-03	-3.393014e-01
2.962850664411504e-03	-4.769079e-01
2.966676421666603e-03	-5.370917e-01
2.969323018149927e-03	-5.643069e-01
2.971253401099516e-03	-5.760298e-01
2.972807295963709e-03	-5.802756e-01
2.974473895832635e-03	-5.795761e-01
2.976304396632385e-03	-5.724889e-01
2.978623055992173e-03	-5.540564e-01
2.982379878733957e-03	-5.024460e-01
2.988352406866820e-03	-3.706791e-01
2.997291868814570e-03	-9.317593e-02
3.007351759638129e-03	2.459240e-01
3.013220813023372e-03	4.106845e-01
3.016924013803914e-03	4.900665e-01
3.019500536975696e-03	5.315557e-01
3.021385225098052e-03	5.541408e-01
3.022971290233684e-03	5.678596e-01
3.024510460579399e-03	5.764614e-01
3.026317998770098e-03	5.805907e-01
3.028645175617529e-03	5.764496e-01
3.032415535786375e-03	5.478355e-01
3.038408090973434e-03	4.523111e-01
3.047370887273839e-03	2.288533e-01
3.057402289791520e-03	-4.780567e-02
3.063250795863406e-03	-1.763136e-01
3.066944152429790e-03	-2.331410e-01
3.069515006168651e-03	-2.590899e-01
3.071395981203975e-03	-2.703855e-01
3.072984666890463e-03	-2.746608e-01
3.074513445122233e-03	-2.741341e-01
3.076319108950979e-03	-2.676038e-01
3.078646980953136e-03	-2.497870e-01
3.082418445811816e-03	-1.991538e-01
3.088412634442854e-03	-6.902014e-02
3.097377330651068e-03	2.051660e-01
3.107406402340178e-03	5.367632e-01
3.113253237352748e-03	6.964037e-01
3.116945792855748e-03	7.725468e-01
3.119516184979708e-03	8.117763e-01
3.121396857583288e-03	8.327006e-01
3.122985756756712e-03	8.450518e-01
3.124513688303870e-03	8.522381e-01
3.126319199408446e-03	8.547551e-01
3.128647128051589e-03	8.484910e-01
3.132418682918931e-03	8.163008e-01
3.138413004635378e-03	7.147606e-01
3.147377855617363e-03	4.816167e-01
3.155994374712656e-03	2.313902e-01
3.162680616691442e-03	6.907345e-02
3.166563316202783e-03	1.470110e-03
3.169242154668777e-03	-3.063344e-02
3.171193439527121e-03	-4.581984e-02
3.172732668134016e-03	-5.271044e-02
3.174642506592820e-03	-5.488161e-02
3.176367107437355e-03	-5.071988e-02
3.178725030441439e-03	-3.567389e-02
3.182544225860699e-03	1.088803e-02
3.188608872523350e-03	1.351791e-01
3.196184569930055e-03	3.529675e-01
3.205537679635607e-03	6.510976e-01
3.212504612029429e-03	8.398442e-01
3.216446674505828e-03	9.184455e-01
3.219158916811250e-03	9.573445e-01
3.221131775153640e-03	9.771020e-01
3.222655898880932e-03	9.872253e-01
3.224547506221386e-03	9.934177e-01
3.226331778146654e-03	9.927319e-01
3.228667582850385e-03	9.822982e-01
3.232451651993474e-03	9.431546e-01
3.238464469134708e-03	8.301796e-01
3.247450797561095e-03	5.796794e-01
3.257564664337980e-03	2.706319e-01
3.263358889616323e-03	1.261306e-01
3.267016858899259e-03	5.873650e-02
